Hebi 1 torque	Hebi 2 torque	M3 torque
0.12513	-4.04887	-0.000711703	
0.110984	-4.11319	0.0023114	
0.0926111	-4.08359	0.0385679	
0.0742718	-4.1034	0.00679782	
0.0610102	-4.18136	-0.0293098	
0.0306909	-4.24122	-0.00136779	
0.0102661	-4.22635	-0.00784562	
-0.00342189	-4.26	0.026051	
-0.0260987	-4.31231	-0.0138114	
-0.0571004	-4.33883	-0.00650274	
-0.073653	-4.38122	0.00506371	
-0.102273	-4.39609	0.00924174	
-0.113574	-4.41268	0.0118483	
-0.130827	-4.45277	-0.0164531	
-0.154005	-4.44735	-3.16555e-05	
-0.0463457	-4.57171	-0.0134575	
-0.1453	-4.52888	0.0166999	
-0.194445	-4.57337	-0.000718473	
-0.237105	-4.6505	0.00274063	
0.0583135	-4.73132	0.0462796	
-0.199511	-4.66216	0.00620226	
-0.253758	-4.68377	-0.00418006	
-0.315293	-4.69194	0.00405453	
-0.308979	-4.76287	0.00132302	
-0.339845	-4.76233	0.00474332	
-0.361243	-4.80894	-0.00792102	
-0.389514	-4.84568	-0.00228754	
-0.417012	-4.85348	0.0121846	
-0.44013	-4.89025	-0.0030296	
-0.462183	-4.91571	0.00158709	
-0.485033	-4.99315	-0.0083263	
-0.540249	-5.05734	-0.0183254	
-0.546968	-5.03099	0.0257581	
-0.565869	-5.01658	0.0023809	
-0.583973	-5.03997	-0.00303158	
-0.599688	-5.06764	0.00458659	
-0.630769	-5.11313	0.00592297	
-0.658263	-5.13643	-0.0062657	
-0.689841	-5.12909	0.0218525	
-0.73874	-5.29312	-0.0297473	
-0.755949	-5.19345	0.0153399	
-0.776065	-5.25145	-0.00437109	
-0.809063	-5.18791	0.0366037	
-0.80775	-5.21966	0.00819679	
-0.832365	-5.26388	-0.02824	
-0.854411	-5.30634	0.00103391	
-0.876838	-5.33759	0.000223858	
-0.920381	-5.37541	-0.00142714	
-0.939419	-5.35067	0.0506837	
-0.956599	-5.4025	-0.03962	
-0.985788	-5.4376	-0.00132655	
-1.013	-5.44571	0.0105604	
-1.0274	-5.46952	-0.00481764	
-1.03995	-5.54606	-0.000748957	
-1.08379	-5.52576	-0.00110604	
-1.11226	-5.51213	0.00188646	
-1.13176	-5.52358	-0.00135596	
-1.14935	-5.59241	0.00399032	
-1.1977	-5.7159	0.0112661	
-1.22266	-5.65608	-0.0048293	
-1.24031	-5.67805	-0.0133116	
-1.26013	-5.62176	0.00569421	
-1.27941	-5.67825	0.000122914	
-1.30065	-5.77827	0.00202744	
-1.34229	-5.73887	-0.0114419	
-1.36841	-5.70776	0.0260089	
-1.38872	-5.73176	-0.00635623	
-1.41297	-5.76328	0.00304292	
-1.40891	-5.81379	-0.0144708	
-1.46935	-5.79905	0.00738729	
-1.49614	-5.86748	-0.00325452	
-1.52852	-5.8152	0.0188154	
-1.5399	-5.82922	-0.000598698	
-1.61157	-5.97382	-0.0522892	
-1.58685	-6.04581	0.0511871	
-1.64685	-5.87271	-0.00105805	
-1.55383	-5.87075	0.0947049	
-1.82891	-5.8911	0.0333958	
-1.89728	-5.97811	0.0255266	
-1.96496	-5.98845	0.0349528	
-2.01861	-6.01138	0.056921	
-2.05166	-5.91741	0.0689849	
-2.06506	-6.00269	0.0257087	
-2.1088	-6.04386	0.0395823	
-1.58528	-6.06597	0.00531635	
-1.9281	-6.03386	-0.0154088	
-1.93821	-6.06698	0.00208079	
-1.97551	-6.0379	0.0100745	
-1.98647	-6.07149	0.000201263	
-2.00914	-6.07971	-0.00164892	
-2.02632	-6.09927	0.00260922	
-2.04063	-6.11983	0.00938667	
-2.0646	-6.09129	-0.000837676	
-2.08407	-6.15188	0.0140998	
-2.09462	-6.11462	-0.00851724	
-2.10936	-6.13721	0.00451239	
-2.11847	-6.14145	-0.00177077	
-2.15049	-6.10843	0.0155622	
-2.15486	-6.11324	-0.0104007	
-2.1733	-6.11103	0.00101293	
-2.21704	-6.15588	0.0322386	
-2.20085	-6.15043	-0.0198486	
-2.21919	-6.14927	0.011506	
-2.23849	-6.17309	-0.00213838	
